2019-12-16 22:05:05.960 [main] INFO  com.xmu.address.AddressApplication - Starting AddressApplication on LAPTOP-O7RFFOA8 with PID 10376 (C:\Users\97392\IdeaProjects\address\target\classes started by 97392 in C:\Users\97392\IdeaProjects\address)
2019-12-16 22:05:05.976 [main] INFO  com.xmu.address.AddressApplication - No active profile set, falling back to default profiles: default
2019-12-16 22:05:08.284 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-12-16 22:05:08.308 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-12-16 22:05:08.309 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-12-16 22:05:08.310 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2019-12-16 22:05:08.312 [main] INFO  o.a.c.core.AprLifecycleListener - Loaded APR based Apache Tomcat Native library [1.2.23] using APR version [1.7.0].
2019-12-16 22:05:08.313 [main] INFO  o.a.c.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2019-12-16 22:05:08.313 [main] INFO  o.a.c.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2019-12-16 22:05:08.318 [main] INFO  o.a.c.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1c  28 May 2019]
2019-12-16 22:05:08.469 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-12-16 22:05:08.469 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2368 ms
2019-12-16 22:05:09.265 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-16 22:05:09.729 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-12-16 22:05:09.756 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-12-16 22:05:09.759 [main] INFO  com.xmu.address.AddressApplication - Started AddressApplication in 4.726 seconds (JVM running for 6.194)
